PLAYER_ID,COHORT_PLAYER_NAME,DRAFT_YEAR,season_num,season_string,games_with_shots,shot_attempts,shot_makes,fg_pct,eligible_for_tensor,excluded_from_embedding_training_low_volume
947,Allen Iverson,1996,1,1996-97,76,1500,625,0.4166666666666667,1,0
947,Allen Iverson,1996,2,1997-98,80,1407,649,0.4612651030561478,1,0
947,Allen Iverson,1996,3,1998-99,48,1056,435,0.4119318181818182,1,0
947,Allen Iverson,1996,4,1999-00,70,1733,729,0.42065781881130987,1,0
951,Ray Allen,1996,1,1996-97,82,905,389,0.4298342541436464,1,0
951,Ray Allen,1996,2,1997-98,82,1304,562,0.43098159509202455,1,0
951,Ray Allen,1996,3,1998-99,50,671,303,0.45156482861400893,1,0
951,Ray Allen,1996,4,1999-00,82,1399,642,0.45889921372408865,1,0
959,Steve Nash,1996,1,1996-97,55,175,74,0.4228571428571429,1,0
959,Steve Nash,1996,2,1997-98,73,584,268,0.4589041095890411,1,0
959,Steve Nash,1996,3,1998-99,40,314,114,0.3630573248407643,1,0
959,Steve Nash,1996,4,1999-00,56,363,173,0.4765840220385675,1,0
977,Kobe Bryant,1996,1,1996-97,67,422,176,0.41706161137440756,1,0
977,Kobe Bryant,1996,2,1997-98,79,911,391,0.429198682766191,1,0
977,Kobe Bryant,1996,3,1998-99,50,778,362,0.4652956298200514,1,0
977,Kobe Bryant,1996,4,1999-00,66,1182,554,0.4686971235194585,1,0
1495,Tim Duncan,1997,1,1997-98,82,1286,706,0.5489891135303266,1,0
1495,Tim Duncan,1997,2,1998-99,50,843,418,0.4958481613285884,1,0
1495,Tim Duncan,1997,3,1999-00,74,1278,628,0.49139280125195617,1,0
1495,Tim Duncan,1997,4,2000-01,82,1405,702,0.499644128113879,1,0
1497,Chauncey Billups,1997,1,1997-98,80,749,280,0.37383177570093457,1,0
1497,Chauncey Billups,1997,2,1998-99,45,495,191,0.38585858585858585,1,0
1497,Chauncey Billups,1997,3,1999-00,13,101,34,0.33663366336633666,1,0
1497,Chauncey Billups,1997,4,2000-01,75,585,248,0.4239316239316239,1,0
1503,Tracy McGrady,1997,1,1997-98,59,398,179,0.44974874371859297,1,0
1503,Tracy McGrady,1997,2,1998-99,47,384,168,0.4375,1,0
1503,Tracy McGrady,1997,3,1999-00,79,1016,459,0.45177165354330706,1,0
1503,Tracy McGrady,1997,4,2000-01,77,1722,788,0.45760743321718933,1,0
1713,Vince Carter,1998,1,1998-99,50,764,345,0.45157068062827227,1,0
1713,Vince Carter,1998,2,1999-00,82,1691,788,0.46599645180366644,1,0
1713,Vince Carter,1998,3,2000-01,75,1655,762,0.46042296072507555,1,0
1713,Vince Carter,1998,4,2001-02,60,1306,559,0.4280245022970903,1,0
1717,Dirk Nowitzki,1998,1,1998-99,47,336,136,0.40476190476190477,1,0
1717,Dirk Nowitzki,1998,2,1999-00,82,1118,515,0.4606440071556351,1,0
1717,Dirk Nowitzki,1998,3,2000-01,82,1243,591,0.4754625905068383,1,0
1717,Dirk Nowitzki,1998,4,2001-02,76,1258,600,0.4769475357710652,1,0
1718,Paul Pierce,1998,1,1998-99,48,647,284,0.43894899536321486,1,0
1718,Paul Pierce,1998,2,1999-00,73,1099,486,0.4422202001819836,1,0
1718,Paul Pierce,1998,3,2000-01,82,1512,687,0.45436507936507936,1,0
1718,Paul Pierce,1998,4,2001-02,82,1593,706,0.44318895166352795,1,0
1938,Manu Ginobili,1999,2,2003-04,77,783,330,0.421455938697318,1,0
1938,Manu Ginobili,1999,3,2004-05,74,780,367,0.4705128205128205,1,0
